Time;Temperature;Humidity
1455370902;22.00;25.6428
1455370932;22.00;25.6428
1455370962;22.00;25.6428
1455370992;22.00;25.6428
1455371022;22.00;25.6428
1455371052;22.00;26.2816
1455371082;22.00;25.0041
1455371112;22.00;25.6428
1455371142;22.00;25.6428
1455371172;22.00;25.6428
1455371202;22.00;25.6428
1455371232;22.00;25.0041
1455371262;22.00;25.0041
1455371292;22.00;25.6428
1455371322;22.00;25.0041
1455371352;22.00;25.0041
1455371382;22.00;25.0041
1455371412;22.00;25.0041
1455371442;22.00;25.6428
1455371472;22.00;25.6428
1455371502;22.00;25.0041
1455371532;22.00;25.6428
1455371562;22.00;25.0041
1455371592;22.00;25.0041
1455371622;22.00;25.6428
1455371652;22.00;25.0041
1455371682;22.00;25.6428
1455371712;22.00;25.0041
1455371742;22.00;25.0041
1455371772;22.00;25.0041
1455371802;22.00;25.0041
1455371832;22.00;25.0041
1455371862;22.00;26.2816
1455371892;22.00;25.0041
1455371922;22.00;25.6428
1455371952;22.00;24.3653
1455371982;22.00;25.0041
1455372012;22.00;24.3653
1455372042;22.00;24.3653
1455372072;22.00;24.3653
1455372102;22.00;24.3653
1455372132;22.00;24.3653
1455372162;22.00;24.3653
1455372192;22.00;25.0041
1455372222;22.00;24.3653
1455372252;22.00;25.0041
1455372282;22.00;24.3653
1455372312;22.00;24.3653
1455372342;22.00;24.3653
1455372372;22.00;23.7266
1455372402;22.00;25.0041
1455372432;22.00;24.3653
1455372462;22.00;24.3653
1455372492;22.00;25.0041
1455372522;22.00;25.0041
1455372552;22.00;25.6428
1455372582;22.00;25.0041
1455372612;22.00;25.0041
1455372642;22.00;25.0041
1455372672;22.00;24.3653
1455372702;22.00;24.3653
1455372732;22.00;23.7266
1455372762;22.00;24.3653
1455372792;22.00;25.0041
1455372822;22.00;24.3653
1455372852;22.00;25.0041
1455372882;22.00;24.3653
1455372912;22.00;24.3653
1455372942;22.00;24.3653
1455372972;22.00;24.3653
1455373002;22.00;24.3653
1455373032;22.00;25.0041
1455373062;22.00;24.3653
1455373092;22.00;24.3653
1455373122;22.00;25.0041
1455373152;22.00;24.3653
1455373182;22.00;24.3653
1455373212;22.00;24.3653
1455373242;22.00;24.3653
1455373272;22.00;25.0041
1455373302;22.00;24.3653
1455373332;22.00;23.7266
1455373362;22.00;24.3653
1455373392;22.00;23.7266
1455373422;22.00;24.3653
1455373452;22.00;25.0041
1455373482;22.00;23.7266
1455373512;22.00;24.3653
1455373542;22.00;24.3653
1455373572;22.00;24.3653
1455373602;22.00;24.3653
1455373632;22.00;23.7266
1455373662;22.00;24.3653
1455373692;22.00;24.3653
1455373722;22.00;25.0041
1455373752;22.00;24.3653
1455373782;22.00;24.3653
1455373812;22.00;24.3653
1455373842;22.00;24.3653
1455373872;22.00;24.3653
1455373902;22.00;24.3653
1455373932;22.00;24.3653
1455373962;22.00;23.7266
1455373992;22.00;24.3653
1455374022;22.00;25.0041
1455374052;22.00;23.7266
1455374082;22.00;24.3653
1455374112;22.00;23.7266
1455374142;22.00;23.7266
1455374172;22.00;23.7266
1455374202;22.00;23.7266
1455374232;22.00;23.7266
1455374262;22.00;23.7266
1455374292;22.00;23.7266
1455374322;22.00;23.7266
1455374352;22.00;23.7266
1455374382;22.00;24.3653
1455374412;22.00;24.3653
1455374442;22.00;24.3653
1455374472;22.00;24.3653
1455374502;22.00;24.3653
1455374532;22.00;23.7266
1455374562;22.00;23.7266
1455374592;22.00;23.7266
1455374622;22.00;24.3653
1455374652;22.00;23.7266
1455374682;22.00;24.3653
1455374712;22.00;24.3653
1455374742;22.00;23.7266
1455374772;22.00;23.7266
1455374802;22.00;23.7266
1455374832;22.00;23.7266
1455374862;22.00;23.7266
1455374892;22.00;23.7266
1455374922;22.00;24.3653
1455374952;22.00;23.7266
1455374982;22.00;23.7266
1455375012;22.00;23.7266
1455375042;22.00;24.3653
1455375072;22.00;23.7266
1455375102;22.00;23.7266
1455375132;22.00;23.7266
1455375162;22.00;24.3653
1455375192;22.00;23.7266
1455375222;22.00;23.7266
1455375252;22.00;23.7266
1455375282;22.00;23.7266
1455375312;22.00;23.7266
1455375342;22.00;23.7266
1455375372;22.00;24.3653
1455375402;22.00;23.7266
1455375432;22.00;23.7266
1455375462;22.00;23.7266
1455375492;22.00;24.3653
1455375522;22.00;23.7266
1455375552;22.00;24.3653
1455375582;22.00;24.3653
1455375612;22.00;23.7266
1455375642;22.00;23.7266
1455375672;22.00;24.3653
1455375702;22.00;23.7266
1455375732;22.00;23.7266
1455375762;22.00;24.3653
1455375792;22.00;24.3653
1455375822;22.00;23.7266
1455375852;22.00;24.3653
1455375882;22.00;23.7266
1455375912;22.50;23.7266
1455375942;22.50;23.7266
1455375972;22.50;23.7266
1455376002;22.50;23.7266
1455376032;22.50;23.7266
1455376062;22.50;23.0878
1455376092;22.50;23.7266
1455376122;22.50;24.3653
1455376152;22.50;23.7266
1455376182;22.50;23.7266
1455376212;22.50;23.7266
1455376242;22.50;23.7266
1455376272;22.50;23.7266
1455376302;22.50;23.7266
1455376332;22.50;24.3653
1455376362;22.50;23.7266
1455376392;22.50;23.7266
1455376422;22.50;23.7266
1455376452;22.50;23.7266
1455376482;22.50;24.3653
1455376512;22.50;23.7266
1455376542;22.50;23.7266
1455376572;22.50;23.0878
1455376602;22.50;23.7266
1455376632;22.50;23.7266
1455376662;22.50;23.0878
1455376692;22.50;23.7266
1455376722;22.50;23.7266
1455376752;22.50;23.7266
1455376782;22.50;23.0878
1455376812;22.50;23.7266
1455376842;22.50;23.0878
1455376872;22.50;23.7266
1455376902;22.50;23.0878
1455376932;22.50;23.7266
1455376962;22.50;23.7266
1455376992;22.50;23.7266
1455377022;22.50;23.7266
1455377052;22.50;23.0878
1455377082;22.50;23.0878
1455377112;22.50;23.7266
1455377142;22.50;23.0878
1455377172;22.50;23.0878
1455377202;22.50;23.0878
